"id","raceId","raceTypeDetail","electionYear","officeTypeId","contributionLimit","winners__001","winners__002"
"1","02A","Mayor","2002","1","2000","18",""
"2","02B","Council - Chair","2002","3","1500","205",""
"3","02C","Council - At-Large","2002","3","1000","79","271"
"4","02D","Council - Ward 1","2002","3","500","154",""
"5","02E","Council - Ward 3","2002","3","500","177",""
"6","02F","Council - Ward 5","2002","3","500","345",""
"7","02G","Council - Ward 6","2002","3","500","309",""
"8","02H","Shadow U.S. Senator","2002","4","","264",""
"9","02I","Shadow U.S. Representative","2002","4","","279",""
"10","02J","School Board - President","2002","5","","358",""
"11","02K","School Board - District III","2002","5","","331",""
"12","02L","School Board - District IV","2002","5","","353",""
"13","04A","Council - At-Large","2004","3","1000","45","191"
"14","04B","Council - Ward 2","2004","3","500","135",""
"15","04C","Council - Ward 4","2004","3","500","6",""
"16","04D","Council - Ward 7","2004","3","500","344",""
"17","04E","Council - Ward 8","2004","3","500","223",""
"18","04F","Shadow U.S. Representative","2004","4","","279",""
"19","04G","School Board - District I","2004","5","","148",""
"20","04H","School Board - District II","2004","5","","340",""
"21","04I","Partisan Positions & Convention Delegates - General","2004","6","","",""
"22","06A","Mayor","2006","1","2000","6",""
"23","06B","Council - Chair","2006","3","1500","344",""
"24","06C","Council - At-Large","2006","3","1000","79","271"
"25","06D","Council - Ward 1","2006","3","500","154",""
"26","06E","Council - Ward 3","2006","3","500","234",""
"27","06F","Council - Ward 5","2006","3","500","130",""
"28","06G","Council - Ward 6","2006","3","500","331",""
"29","06H","Shadow U.S. Senator","2006","4","","245",""
"30","06I","Shadow U.S. Representative","2006","4","","248",""
"31","06J","School Board - President","2006","5","","285",""
"32","06K","School Board - District III","2006","5","","209",""
"33","06L","School Board - District IV","2006","5","","353",""
"34","07A","Council - Ward 4 (Special)","2007","3","500","253",""
"35","07B","Council - Ward 7 (Special)","2007","3","500","357",""
"36","07C","School Board - District II (Special)","2007","5","","306",""
"37","08A","Council - At-Large","2008","3","1000","191","242"
"38","08B","Council - Ward 2","2008","3","500","135",""
"39","08C","Council - Ward 4","2008","3","500","253",""
"40","08D","Council - Ward 7","2008","3","500","357",""
"41","08E","Council - Ward 8","2008","3","500","223",""
"42","08F","Shadow U.S. Senator","2008","4","","264",""
"43","08H","School Board - At-Large","2008","5","500","321",""
"44","08I","School Board - Ward 1","2008","5","200","94",""
"45","08J","School Board - Ward 2","2008","5","200","236",""
"46","08K","School Board - Ward 3","2008","5","200","196",""
"47","08L","School Board - Ward 4","2008","5","200","306",""
"48","08M","School Board - Ward 5","2008","5","200","225",""
"49","08N","School Board - Ward 6","2008","5","200","209",""
"50","08O","School Board - Ward 7","2008","5","200","93",""
"51","08P","School Board - Ward 8","2008","5","200","353",""
"52","08Q","Partisan Positions & Convention Delegates - General","2008","6","","",""
"53","10A","Mayor","2010","1","","344",""
"54","10B","Council - Chair","2010","3","1500","191",""
"55","10C","Council - At-Large","2010","3","1000","79","271"
"56","10D","Council - Ward 1","2010","3","500","154",""
"57","10E","Council - Ward 3","2010","3","500","234",""
"58","10F","Council - Ward 5","2010","3","500","130",""
"59","10G","Council - Ward 6","2010","3","500","331",""
"60","10H","Shadow U.S. Representative","2010","4","","248",""
"61","10I","School Board - Ward 1","2010","5","200","261",""
"62","10J","School Board - Ward 3","2010","5","200","196",""
"63","10K","School Board - Ward 5","2010","5","200","225",""
"64","10L","School Board - Ward 6","2010","5","200","252",""
"65","11A","Council - At-Large (Special)","2011","3","1000","345",""
"66","11B","School Board - Ward 4 (Special)","2011","5","200","68",""
"67","11C","School Board - Ward 8 (Special)","2011","5","200","336",""
"68","12A","Council - Ward 5 (Special)","2012","3","500","183",""
"69","12B","Council - At-Large","2012","3","1000","82","345"
"70","12C","Council - Ward 2","2012","3","500","135",""
"71","12D","Council - Ward 4","2012","3","500","253",""
"72","12E","Council - Ward 7","2012","3","500","357",""
